name,country,subcountry,geonameid,timezone
Bucaramanga,Colombia,Santander Department,3688465,America/Bogota
Bosconia,Colombia,Cesar Department,3688566,America/Bogota
Bogotá,Colombia,Bogota D.C.,3688689,America/Bogota
Betulia,Colombia,Antioquia,3688840,America/Bogota
Bello,Colombia,Antioquia,3688928,America/Bogota
Belén de Umbría,Colombia,Risaralda Department,3688989,America/Bogota
Becerril,Colombia,Cesar Department,3689026,America/Bogota
Barranquilla,Colombia,Atlantico,3689147,America/Bogota
Barrancas,Colombia,La Guajira Department,3689162,America/Bogota
Barrancabermeja,Colombia,Santander Department,3689169,America/Bogota
Barbosa,Colombia,Antioquia,3689205,America/Bogota
Barbosa,Colombia,Santander Department,3689206,America/Bogota
Baranoa,Colombia,Atlantico,3689235,America/Bogota
Balboa,Colombia,Cauca Department,3689292,America/Bogota
Ayapel,Colombia,Cordoba,3689381,America/Bogota
Astrea,Colombia,Cesar Department,3689458,America/Bogota
Armenia,Colombia,Quindio Department,3689560,America/Bogota
Arjona,Colombia,Bolivar,3689570,America/Bogota
Ariguaní,Colombia,Cesar Department,3689589,America/Bogota
Arauca,Colombia,Arauca Department,3689718,America/Bogota
Aracataca,Colombia,Magdalena Department,3689759,America/Bogota
Apartadó,Colombia,Antioquia,3689798,America/Bogota
Santa Fe de Antioquia,Colombia,Antioquia,3689816,America/Bogota
Anserma,Colombia,Risaralda Department,3689833,America/Bogota
Andes,Colombia,Antioquia,3689899,America/Bogota
Andalucía,Colombia,Valle del Cauca Department,3689905,America/Bogota
Anaime,Colombia,Tolima Department,3689952,America/Bogota
Albania,Colombia,La Guajira Department,3690250,America/Bogota
Aguazul,Colombia,Casanare Department,3690316,America/Bogota
Aguadas,Colombia,Caldas Department,3690431,America/Bogota
Aguachica,Colombia,Cesar Department,3690465,America/Bogota
Acacías,Colombia,Meta Department,3690577,America/Bogota
Abejorral,Colombia,Antioquia,3690592,America/Bogota
Morales,Colombia,Cauca Department,3770718,America/Bogota
Villa Rica,Colombia,Cauca Department,3770955,America/Bogota
Fredonia,Colombia,Antioquia,3780602,America/Bogota
Bosconia,Colombia,Cundinamarca,3781636,America/Bogota
Carepa,Colombia,Antioquia,3792375,America/Bogota
Ciudad Bolívar,Colombia,Antioquia,3792376,America/Bogota
Tiquisio,Colombia,Bolivar,3792380,America/Bogota
Agustín Codazzi,Colombia,Cesar Department,3792383,America/Bogota
San Martín,Colombia,Cesar Department,3792385,America/Bogota
Isnos,Colombia,Huila Department,3792389,America/Bogota
Plato,Colombia,Magdalena Department,3792392,America/Bogota
San José del Guaviare,Colombia,Guaviare Department,3828545,America/Bogota
Orito,Colombia,Putumayo Department,3829343,America/Bogota
Piendamo,Colombia,Cauca Department,8633918,America/Bogota
Turrialba,Costa Rica,Cartago Province,3621184,America/Costa_Rica
Tejar,Costa Rica,San Jose,3621335,America/Costa_Rica
Siquirres,Costa Rica,Limon Province,3621440,America/Costa_Rica
San Vicente,Costa Rica,San Jose,3621505,America/Costa_Rica
San Rafael Arriba,Costa Rica,San Jose,3621655,America/Costa_Rica
San Rafael Abajo,Costa Rica,San Jose,3621659,America/Costa_Rica
San Rafael,Costa Rica,San Jose,3621689,America/Costa_Rica
San Pedro,Costa Rica,San Jose,3621717,America/Costa_Rica
San Pablo,Costa Rica,Heredia Province,3621729,America/Costa_Rica
San Miguel,Costa Rica,San Jose,3621753,America/Costa_Rica
San Juan de Dios,Costa Rica,San Jose,3621804,America/Costa_Rica
San Juan,Costa Rica,San Jose,3621819,America/Costa_Rica
San José,Costa Rica,Alajuela Province,3621841,America/Costa_Rica
San José,Costa Rica,San Jose,3621849,America/Costa_Rica
San Isidro,Costa Rica,San Jose,3621889,America/Costa_Rica
San Francisco,Costa Rica,Heredia Province,3621911,America/Costa_Rica
San Felipe,Costa Rica,San Jose,3621922,America/Costa_Rica
San Diego,Costa Rica,Cartago Province,3621926,America/Costa_Rica
Quesada,Costa Rica,Alajuela Province,3622190,America/Costa_Rica
Purral,Costa Rica,San Jose,3622217,America/Costa_Rica
Puntarenas,Costa Rica,Puntarenas Province,3622228,America/Costa_Rica
Limón,Costa Rica,Limon Province,3622247,America/Costa_Rica
Patarrá,Costa Rica,San Jose,3622507,America/Costa_Rica
Paraíso,Costa Rica,Cartago Province,3622547,America/Costa_Rica
Nicoya,Costa Rica,Guanacaste Province,3622716,America/Costa_Rica
Mercedes Norte,Costa Rica,Heredia Province,3622881,America/Costa_Rica
Liberia,Costa Rica,Guanacaste Province,3623076,America/Costa_Rica
Ipís,Costa Rica,San Jose,3623394,America/Costa_Rica
Heredia,Costa Rica,Heredia Province,3623486,America/Costa_Rica
Guápiles,Costa Rica,Limon Province,3623580,America/Costa_Rica
Guadalupe,Costa Rica,San Jose,3623593,America/Costa_Rica
Esparza,Costa Rica,Puntarenas Province,3623781,America/Costa_Rica
Curridabat,Costa Rica,San Jose,3623977,America/Costa_Rica
Colima,Costa Rica,San Jose,3624174,America/Costa_Rica
Chacarita,Costa Rica,Puntarenas Province,3624288,America/Costa_Rica
Cartago,Costa Rica,Cartago Province,3624370,America/Costa_Rica
Cañas,Costa Rica,Guanacaste Province,3624468,America/Costa_Rica
Calle Blancos,Costa Rica,San Jose,3624509,America/Costa_Rica
Aserrí,Costa Rica,San Jose,3624848,America/Costa_Rica
Alajuela,Costa Rica,Alajuela Province,3624955,America/Costa_Rica
San Vicente de Moravia,Costa Rica,San Jose,6612154,America/Costa_Rica
Yara,Cuba,Granma Province,3533753,America/Havana
Yaguajay,Cuba,Sancti Spiritus Province,3533826,America/Havana
Viñales,Cuba,Pinar del Rio,3534094,America/Havana
Víbora Park,Cuba,Havana,3534332,America/Havana
Vertientes,Cuba,Camaguey,3534363,America/Havana
Venezuela,Cuba,Ciego de Avila Province,3534432,America/Havana
Vedado del Cotorro,Cuba,Havana,3534597,America/Havana
Vedado,Cuba,Havana,3534599,America/Havana
Varadero,Cuba,Matanzas Province,3534632,America/Havana
San Germán,Cuba,Holguin Province,3534749,America/Havana
Unión de Reyes,Cuba,Matanzas Province,3534761,America/Havana
Trinidad,Cuba,Sancti Spiritus Province,3534915,America/Havana
Sibanicú,Cuba,Camaguey,3536259,America/Havana
Santo Domingo,Cuba,Villa Clara Province,3536640,America/Havana
Santiago de las Vegas,Cuba,Havana,3536724,America/Havana
Santiago de Cuba,Cuba,Santiago de Cuba Province,3536729,America/Havana
Santa Cruz del Sur,Cuba,Camaguey,3537840,America/Havana
Santa Cruz del Norte,Cuba,Mayabeque,3537845,America/Havana
Santa Clara,Cuba,Villa Clara Province,3537906,America/Havana
San Miguel del Padrón,Cuba,Havana,3538803,America/Havana
San Luis,Cuba,Santiago de Cuba Province,3539093,America/Havana
San José de las Lajas,Cuba,Mayabeque,3539560,America/Havana
Sancti Spíritus,Cuba,Sancti Spiritus Province,3540667,America/Havana
San Cristobal,Cuba,Artemisa,3540680,America/Havana
San Antonio de los Baños,Cuba,Artemisa,3540885,America/Havana
Sagua la Grande,Cuba,Villa Clara Province,3541440,America/Havana
Sagua de Tánamo,Cuba,Holguin Province,3541446,America/Havana
Rodas,Cuba,Cienfuegos Province,3541999,America/Havana
Río Guayabal de Yateras,Cuba,Guantanamo Province,3542137,America/Havana
Río Cauto,Cuba,Granma Province,3542167,America/Havana
Remedios,Cuba,Villa Clara Province,3542455,America/Havana
Regla,Cuba,Havana,3542502,America/Havana
Ranchuelo,Cuba,Villa Clara Province,3542744,America/Havana
Puerto Padre,Cuba,Las Tunas Province,3543299,America/Havana
Primero de Enero,Cuba,Ciego de Avila Province,3543498,America/Havana
Placetas,Cuba,Villa Clara Province,3543961,America/Havana
Pinar del Río,Cuba,Pinar del Rio,3544091,America/Havana
Perico,Cuba,Matanzas Province,3544393,America/Havana
Pedro Betancourt,Cuba,Matanzas Province,3544607,America/Havana
Palmira,Cuba,Cienfuegos Province,3545040,America/Havana
Palma Soriano,Cuba,Santiago de Cuba Province,3545064,America/Havana
Nuevitas,Cuba,Camaguey,3545841,America/Havana
Nueva Gerona,Cuba,Isla de la Juventud,3545867,America/Havana
Niquero,Cuba,Granma Province,3545981,America/Havana
Naranjito,Cuba,Havana,3546242,America/Havana
Morón,Cuba,Ciego de Avila Province,3546434,America/Havana
Moa,Cuba,Holguin Province,3546791,America/Havana
Minas de Matahambre,Cuba,Pinar del Rio,3546882,America/Havana
Minas,Cuba,Camaguey,3546894,America/Havana
Media Luna,Cuba,Granma Province,3547260,America/Havana
Matanzas,Cuba,Matanzas Province,3547398,America/Havana
Mariel,Cuba,Artemisa,3547600,America/Havana
Marianao,Cuba,Havana,3547640,America/Havana
Manzanillo,Cuba,Granma Province,3547867,America/Havana
Mantilla,Cuba,Havana,3547932,America/Havana
Manicaragua,Cuba,Villa Clara Province,3547976,America/Havana
Maisí,Cuba,Guantanamo Province,3548441,America/Havana
Madruga,Cuba,Mayabeque,3548529,America/Havana
Los Palacios,Cuba,Pinar del Rio,3548993,America/Havana
Limonar,Cuba,Matanzas Province,3549835,America/Havana
Víbora,Cuba,Havana,3550209,America/Havana
Las Tunas,Cuba,Las Tunas Province,3550598,America/Havana
La Sierpe,Cuba,Sancti Spiritus Province,3551184,America/Havana
La Salud,Cuba,Mayabeque,3551608,America/Havana
Lajas,Cuba,Cienfuegos Province,3553343,America/Havana
Havana,Cuba,Havana,3553478,America/Havana
Jovellanos,Cuba,Matanzas Province,3555907,America/Havana
Jobabo,Cuba,Holguin Province,3556077,America/Havana
Jobabo,Cuba,Las Tunas Province,3556078,America/Havana
Jiguaní,Cuba,Granma Province,3556168,America/Havana
Jesús Menéndez,Cuba,Las Tunas Province,3556268,America/Havana
Jatibonico,Cuba,Sancti Spiritus Province,3556334,America/Havana
Jaruco,Cuba,Mayabeque,3556351,America/Havana
Jagüey Grande,Cuba,Matanzas Province,3556437,America/Havana
Holguín,Cuba,Holguin Province,3556969,America/Havana
Guisa,Cuba,Granma Province,3557332,America/Havana
Güira de Melena,Cuba,Artemisa,3557347,America/Havana
Güines,Cuba,Mayabeque,3557378,America/Havana
Guantánamo,Cuba,Guantanamo Province,3557689,America/Havana
Guane,Cuba,Pinar del Rio,3557758,America/Havana
Guanajay,Cuba,Artemisa,3557801,America/Havana
Guanabacoa,Cuba,Havana,3557846,America/Havana
Guáimaro,Cuba,Camaguey,3557923,America/Havana
Gibara,Cuba,Holguin Province,3558315,America/Havana
Fontanar,Cuba,Havana,3558729,America/Havana
Fomento,Cuba,Sancti Spiritus Province,3558744,America/Havana
Florida,Cuba,Camaguey,3558771,America/Havana
Florencia,Cuba,Ciego de Avila Province,3558792,America/Havana
Esmeralda,Cuba,Camaguey,3559318,America/Havana
Encrucijada,Cuba,Villa Clara Province,3559416,America/Havana
Cumanayagua,Cuba,Cienfuegos Province,3562827,America/Havana
Cueto,Cuba,Holguin Province,3562895,America/Havana
Cruces,Cuba,Cienfuegos Province,3563145,America/Havana
Corralillo,Cuba,Villa Clara Province,3563317,America/Havana
Contramaestre,Cuba,Santiago de Cuba Province,3563504,America/Havana
Consolación del Sur,Cuba,Pinar del Rio,3563559,America/Havana
Condado,Cuba,Sancti Spiritus Province,3563609,America/Havana
Colón,Cuba,Matanzas Province,3563843,America/Havana
Colombia,Cuba,Las Tunas Province,3563856,America/Havana
Cojímar,Cuba,Havana,3563908,America/Havana
Ciro Redondo,Cuba,Ciego de Avila Province,3564084,America/Havana
Cifuentes,Cuba,Villa Clara Province,3564114,America/Havana
Cienfuegos,Cuba,Cienfuegos Province,3564124,America/Havana
Ciego de Ávila,Cuba,Ciego de Avila Province,3564178,America/Havana
Chambas,Cuba,Ciego de Avila Province,3564394,America/Havana
Cerro,Cuba,Havana,3564436,America/Havana
Cauto Cristo,Cuba,Granma Province,3564885,America/Havana
Cárdenas,Cuba,Matanzas Province,3565432,America/Havana
Campechuela,Cuba,Granma Province,3565951,America/Havana
Camajuaní,Cuba,Villa Clara Province,3566054,America/Havana
Camagüey,Cuba,Camaguey,3566067,America/Havana
Calimete,Cuba,Matanzas Province,3566134,America/Havana
Caibarién,Cuba,Villa Clara Province,3566356,America/Havana
Cacocum,Cuba,Holguin Province,3566429,America/Havana
Cabaiguán,Cuba,Sancti Spiritus Province,3566603,America/Havana
Bejucal,Cuba,Mayabeque,3567546,America/Havana
Bayamo,Cuba,Granma Province,3567597,America/Havana
Bauta,Cuba,Artemisa,3567612,America/Havana
Bartolomé Masó,Cuba,Granma Province,3567669,America/Havana
Baraguá,Cuba,Ciego de Avila Province,3567823,America/Havana
Baracoa,Cuba,Guantanamo Province,3567834,America/Havana
Banes,Cuba,Holguin Province,3567869,America/Havana
Balcón de la Lisa,Cuba,Havana,3567924,America/Havana
Bahía Honda,Cuba,Artemisa,3567995,America/Havana
Artemisa,Cuba,Artemisa,3568312,America/Havana
Arroyo Naranjo,Cuba,Havana,3568342,America/Havana
Amancio,Cuba,Las Tunas Province,3569024,America/Havana
Alquízar,Cuba,Artemisa,3569136,America/Havana
Almendares,Cuba,Havana,3569175,America/Havana
Alamar,Cuba,Havana,3569370,America/Havana
Aguada de Pasajeros,Cuba,Cienfuegos Province,3569546,America/Havana
Abreus,Cuba,Cienfuegos Province,3569741,America/Havana
Ciudad Camilo Cienfuegos,Cuba,Havana,3746181,America/Havana
Centro Habana,Cuba,Havana,3746183,America/Havana
La Habana Vieja,Cuba,Havana,3746184,America/Havana
Jimaguayú,Cuba,Camaguey,3754915,America/Havana
Boyeros,Cuba,Havana,6956647,America/Havana
Diez de Octubre,Cuba,Havana,6956648,America/Havana
Plaza de la Revolución,Cuba,Havana,8393989,America/Havana
Praia,Cabo Verde,Praia,3374333,Atlantic/Cape_Verde
Mindelo,Cabo Verde,Sao Vicente,3374462,Atlantic/Cape_Verde
Assomada,Cabo Verde,Santa Catarina,3374888,Atlantic/Cape_Verde
Espargos,Cabo Verde,Sal,8521418,Atlantic/Cape_Verde
Willemstad,Curaçao,,3513090,America/Curacao
Bandariba,Curaçao,,13308487,America/Curacao
Flying Fish Cove,Christmas Island,,2078127,Indian/Christmas
Protaras,Cyprus,Ammochostos,18918,Asia/Famagusta
Germasógeia,Cyprus,Limassol,145963,Asia/Nicosia
Stróvolos,Cyprus,Nicosia,146054,Asia/Nicosia
Paphos,Cyprus,Pafos,146214,Asia/Nicosia
Nicosia,Cyprus,Nicosia,146268,Asia/Nicosia
Mórfou,Cyprus,Nicosia,146286,Asia/Nicosia
Limassol,Cyprus,Limassol,146384,Asia/Nicosia
Larnaca,Cyprus,Larnaka,146400,Asia/Nicosia
Kyrenia,Cyprus,Keryneia,146412,Asia/Famagusta
Káto Polemídia,Cyprus,Limassol,146516,Asia/Nicosia
Káto Lakatámeia,Cyprus,Nicosia,146523,Asia/Nicosia
Famagusta,Cyprus,Ammochostos,146617,Asia/Famagusta
Aglantziá,Cyprus,Nicosia,146619,Asia/Nicosia
Égkomi,Cyprus,Ammochostos,146638,Asia/Famagusta
Aradíppou,Cyprus,Larnaka,146796,Asia/Nicosia
Dvůr Králové nad Labem,Czechia,Kralovehradecky kraj,3061284,Europe/Prague
Znojmo,Czechia,South Moravian,3061344,Europe/Prague
Zlín,Czechia,Zlin,3061370,Europe/Prague
Žižkov,Czechia,Prague,3061412,Europe/Prague
Žďár nad Sázavou,Czechia,Vysocina,3061695,Europe/Prague
Žatec,Czechia,Ustecky kraj,3061822,Europe/Prague
Záběhlice,Czechia,Prague,3062152,Europe/Prague
Vysočany,Czechia,Prague,3062257,Europe/Prague
Vyškov,Czechia,South Moravian,3062283,Europe/Prague
Vsetín,Czechia,Zlin,3062339,Europe/Prague
Vršovice,Czechia,Prague,3062394,Europe/Prague
Varnsdorf,Czechia,Ustecky kraj,3063375,Europe/Prague
Valašské Meziříčí,Czechia,Zlin,3063447,Europe/Prague
Ústí nad Orlicí,Czechia,Pardubicky,3063546,Europe/Prague
Ústí nad Labem,Czechia,Ustecky kraj,3063548,Europe/Prague
Uherský Brod,Czechia,Zlin,3063736,Europe/Prague
Uherské Hradiště,Czechia,Zlin,3063739,Europe/Prague
Trutnov,Czechia,Kralovehradecky kraj,3063907,Europe/Prague
Třinec,Czechia,Moravskoslezsky,3064000,Europe/Prague
Třebíč,Czechia,Vysocina,3064104,Europe/Prague
Teplice,Czechia,Ustecky kraj,3064288,Europe/Prague
Tábor,Czechia,Jihocesky kraj,3064379,Europe/Prague
Svitavy,Czechia,Pardubicky,3064454,Europe/Prague
Šumperk,Czechia,Olomoucky,3064673,Europe/Prague
Střížkov,Czechia,Prague,3064894,Europe/Prague
Strakonice,Czechia,Jihocesky kraj,3065067,Europe/Prague
Stodůlky,Czechia,Prague,3065112,Europe/Prague
Starý Bohumín,Czechia,Moravskoslezsky,3065281,Europe/Prague
Staré Strašnice,Czechia,Prague,3065304,Europe/Prague
Sokolov,Czechia,Karlovarsky kraj,3065617,Europe/Prague
Smíchov,Czechia,Prague,3065743,Europe/Prague
Slaný,Czechia,Central Bohemia,3065903,Europe/Prague
Rožnov pod Radhoštěm,Czechia,Zlin,3066651,Europe/Prague
Řepy,Czechia,Prague,3066909,Europe/Prague
Rakovník,Czechia,Central Bohemia,3067051,Europe/Prague
Prostějov,Czechia,Olomoucky,3067421,Europe/Prague
Prosek,Czechia,Prague,3067433,Europe/Prague
Příbram,Czechia,Central Bohemia,3067542,Europe/Prague
Přerov,Czechia,Olomoucky,3067580,Europe/Prague
Prague,Czechia,Prague,3067696,Europe/Prague
Pilsen,Czechia,Plzen Region,3068160,Europe/Prague
Písek,Czechia,Jihocesky kraj,3068293,Europe/Prague
Pelhřimov,Czechia,Vysocina,3068445,Europe/Prague
Pardubice,Czechia,Pardubicky,3068582,Europe/Prague
Otrokovice,Czechia,Zlin,3068690,Europe/Prague
Ostrov,Czechia,Karlovarsky kraj,3068766,Europe/Prague
Ostrava,Czechia,Moravskoslezsky,3068799,Europe/Prague
Orlová,Czechia,Moravskoslezsky,3068873,Europe/Prague
Opava,Czechia,Moravskoslezsky,3068927,Europe/Prague
Olomouc,Czechia,Olomoucky,3069011,Europe/Prague
Nusle,Czechia,Prague,3069247,Europe/Prague
Nový Jičín,Czechia,Moravskoslezsky,3069305,Europe/Prague
Nové Město,Czechia,Prague,3069467,Europe/Prague
Neratovice,Czechia,Central Bohemia,3069844,Europe/Prague
Náchod,Czechia,Kralovehradecky kraj,3070122,Europe/Prague
Most,Czechia,Ustecky kraj,3070291,Europe/Prague
Modřany,Czechia,Prague,3070420,Europe/Prague
Mladá Boleslav,Czechia,Central Bohemia,3070544,Europe/Prague
Michle,Czechia,Prague,3070744,Europe/Prague
Mělník,Czechia,Central Bohemia,3070862,Europe/Prague
Louny,Czechia,Ustecky kraj,3071507,Europe/Prague
Litvínov,Czechia,Ustecky kraj,3071665,Europe/Prague
Litoměřice,Czechia,Ustecky kraj,3071677,Europe/Prague
Liberec,Czechia,Liberecky kraj,3071961,Europe/Prague
Libeň,Czechia,Prague,3071966,Europe/Prague
Letňany,Czechia,Prague,3072137,Europe/Prague
Kutná Hora,Czechia,Central Bohemia,3072463,Europe/Prague
Kroměříž,Czechia,Zlin,3072649,Europe/Prague
Krnov,Czechia,Moravskoslezsky,3072656,Europe/Prague
Krč,Czechia,Prague,3072826,Europe/Prague
Kralupy nad Vltavou,Czechia,Central Bohemia,3072929,Europe/Prague
Královské Vinohrady,Czechia,Prague,3072931,Europe/Prague
Košíře,Czechia,Prague,3073193,Europe/Prague
Kopřivnice,Czechia,Moravskoslezsky,3073254,Europe/Prague
Kolín,Czechia,Central Bohemia,3073371,Europe/Prague
Kobylisy,Czechia,Prague,3073474,Europe/Prague
Klatovy,Czechia,Plzen Region,3073660,Europe/Prague
Klášterec nad Ohří,Czechia,Ustecky kraj,3073668,Europe/Prague
Kladno,Czechia,Central Bohemia,3073699,Europe/Prague
Karviná,Czechia,Moravskoslezsky,3073789,Europe/Prague
Karlovy Vary,Czechia,Karlovarsky kraj,3073803,Europe/Prague
Kadaň,Czechia,Ustecky kraj,3074020,Europe/Prague
Jirkov,Czechia,Ustecky kraj,3074110,Europe/Prague
Jindřichův Hradec,Czechia,Jihocesky kraj,3074149,Europe/Prague
Jihlava,Czechia,Vysocina,3074199,Europe/Prague
Jičín,Czechia,Kralovehradecky kraj,3074204,Europe/Prague
Jablonec nad Nisou,Czechia,Liberecky kraj,3074603,Europe/Prague
Hranice,Czechia,Olomoucky,3074893,Europe/Prague
Hradec Králové,Czechia,Kralovehradecky kraj,3074967,Europe/Prague
Hostivař,Czechia,Prague,3075053,Europe/Prague
Horní Měcholupy,Czechia,Prague,3075297,Europe/Prague
Holešovice,Czechia,Prague,3075605,Europe/Prague
Hodonín,Czechia,South Moravian,3075654,Europe/Prague
Hlubočepy,Czechia,Prague,3075745,Europe/Prague
Havlíčkův Brod,Czechia,Vysocina,3075919,Europe/Prague
Havířov,Czechia,Moravskoslezsky,3075921,Europe/Prague
Háje,Czechia,Prague,3076028,Europe/Prague
Frýdek-Místek,Czechia,Moravskoslezsky,3076127,Europe/Prague
Dejvice,Czechia,Prague,3077216,Europe/Prague
Děčín,Czechia,Ustecky kraj,3077244,Europe/Prague
Chrudim,Czechia,Pardubicky,3077539,Europe/Prague
Chomutov,Czechia,Ustecky kraj,3077685,Europe/Prague
Chodov,Czechia,Prague,3077700,Europe/Prague
Cheb,Czechia,Karlovarsky kraj,3077835,Europe/Prague
Český Těšín,Czechia,Moravskoslezsky,3077882,Europe/Prague
České Budějovice,Czechia,Jihocesky kraj,3077916,Europe/Prague
Česká Třebová,Czechia,Pardubicky,3077920,Europe/Prague
Česká Lípa,Czechia,Liberecky kraj,3077929,Europe/Prague
Bruntál,Czechia,Moravskoslezsky,3078545,Europe/Prague
Brno,Czechia,South Moravian,3078610,Europe/Prague
Břeclav,Czechia,South Moravian,3078773,Europe/Prague
Braník,Czechia,Prague,3078833,Europe/Prague
Brandýs nad Labem-Stará Boleslav,Czechia,Central Bohemia,3078837,Europe/Prague
Bohumín,Czechia,Moravskoslezsky,3079129,Europe/Prague
Bohnice,Czechia,Prague,3079145,Europe/Prague
Blansko,Czechia,South Moravian,3079273,Europe/Prague
Bílina,Czechia,Ustecky kraj,3079348,Europe/Prague
Beroun,Czechia,Central Bohemia,3079467,Europe/Prague
Benešov,Czechia,Central Bohemia,3079508,Europe/Prague
Černý Most,Czechia,Prague,6269470,Europe/Prague
Zwickau,Germany,Saxony,2803560,Europe/Berlin
Zweibrücken,Germany,Rheinland-Pfalz,2803620,Europe/Berlin
Zülpich,Germany,North Rhine-Westphalia,2803723,Europe/Berlin
Zossen,Germany,Brandenburg,2803870,Europe/Berlin
Zittau,Germany,Saxony,2804008,Europe/Berlin
Zirndorf,Germany,Bavaria,2804034,Europe/Berlin
Zerbst,Germany,Saxony-Anhalt,2804748,Europe/Berlin
Zeitz,Germany,Saxony-Anhalt,2804922,Europe/Berlin
Zehlendorf,Germany,State of Berlin,2805059,Europe/Berlin
Xanten,Germany,North Rhine-Westphalia,2805385,Europe/Berlin
Wurzen,Germany,Saxony,2805597,Europe/Berlin
Würzburg,Germany,Bavaria,2805615,Europe/Berlin
Würselen,Germany,North Rhine-Westphalia,2805644,Europe/Berlin
Wuppertal,Germany,North Rhine-Westphalia,2805753,Europe/Berlin
Wunstorf,Germany,Lower Saxony,2805761,Europe/Berlin
Wülfrath,Germany,North Rhine-Westphalia,2805910,Europe/Berlin
Wörth am Rhein,Germany,Rheinland-Pfalz,2806081,Europe/Berlin
Worms,Germany,Rheinland-Pfalz,2806142,Europe/Berlin
Wolfsburg,Germany,Lower Saxony,2806654,Europe/Berlin
Wolfratshausen,Germany,Bavaria,2806768,Europe/Berlin
Wolfenbüttel,Germany,Lower Saxony,2806914,Europe/Berlin
Wolfen,Germany,Saxony-Anhalt,2806919,Europe/Berlin
Witzenhausen,Germany,Hesse,2807184,Europe/Berlin
Wittstock,Germany,Brandenburg,2807201,Europe/Berlin
Wittmund,Germany,Lower Saxony,2807218,Europe/Berlin
Wittlich,Germany,Rheinland-Pfalz,2807240,Europe/Berlin
Wittenberge,Germany,Brandenburg,2807344,Europe/Berlin
Wittenau,Germany,State of Berlin,2807360,Europe/Berlin
Witten,Germany,North Rhine-Westphalia,2807363,Europe/Berlin
Wismar,Germany,Mecklenburg-Vorpommern,2807465,Europe/Berlin
Wipperfürth,Germany,North Rhine-Westphalia,2807594,Europe/Berlin
Winterhude,Germany,Hamburg,2807748,Europe/Berlin
Winsen,Germany,Lower Saxony,2807845,Europe/Berlin
Winnenden,Germany,Baden-Wurttemberg,2807872,Europe/Berlin
Wilnsdorf,Germany,North Rhine-Westphalia,2808461,Europe/Berlin
Wilmersdorf,Germany,State of Berlin,2808473,Europe/Berlin
Willich,Germany,North Rhine-Westphalia,2808559,Europe/Berlin
Wilhelmstadt,Germany,State of Berlin,2808662,Europe/Berlin
Wilhelmshaven,Germany,Lower Saxony,2808720,Europe/Berlin
Wilhelmsburg,Germany,Hamburg,2808747,Europe/Berlin
Wildeshausen,Germany,Lower Saxony,2808893,Europe/Berlin
Wiesloch,Germany,Baden-Wurttemberg,2809138,Europe/Berlin
Wiesbaden,Germany,Hesse,2809346,Europe/Berlin
Wiehl,Germany,North Rhine-Westphalia,2809517,Europe/Berlin
Wetzlar,Germany,Hesse,2809889,Europe/Berlin
Wetter,Germany,North Rhine-Westphalia,2809984,Europe/Berlin
Westerstede,Germany,Lower Saxony,2810188,Europe/Berlin
Westend,Germany,State of Berlin,2810538,Europe/Berlin
Wesseling,Germany,North Rhine-Westphalia,2810612,Europe/Berlin
Wesel,Germany,North Rhine-Westphalia,2810678,Europe/Berlin
Petersberg,Germany,Hesse,2810706,Europe/Berlin
Wertheim,Germany,Baden-Wurttemberg,2810716,Europe/Berlin
Wersten,Germany,North Rhine-Westphalia,2810730,Europe/Berlin
Wernigerode,Germany,Saxony-Anhalt,2810808,Europe/Berlin
Werne,Germany,North Rhine-Westphalia,2810833,Europe/Berlin
Wermelskirchen,Germany,North Rhine-Westphalia,2810855,Europe/Berlin
Werl,Germany,North Rhine-Westphalia,2810878,Europe/Berlin
Werdohl,Germany,North Rhine-Westphalia,2810919,Europe/Berlin
Werder,Germany,Brandenburg,2810945,Europe/Berlin
Werdau,Germany,Saxony,2810969,Europe/Berlin
Wendlingen am Neckar,Germany,Baden-Wurttemberg,2811204,Europe/Berlin
Wenden,Germany,North Rhine-Westphalia,2811278,Europe/Berlin
Wendelstein,Germany,Bavaria,2811292,Europe/Berlin
Weiterstadt,Germany,Hesse,2811644,Europe/Berlin
Weißwasser,Germany,Saxony,2811698,Europe/Berlin
Weißenfels,Germany,Saxony-Anhalt,2811899,Europe/Berlin
Weißenburg in Bayern,Germany,Bavaria,2811909,Europe/Berlin
Weinstadt-Endersbach,Germany,Baden-Wurttemberg,2812145,Europe/Berlin
Weinheim,Germany,Baden-Wurttemberg,2812174,Europe/Berlin
Weingarten,Germany,Baden-Wurttemberg,2812204,Europe/Berlin
Weimar,Germany,Thuringia,2812482,Europe/Berlin
Weilheim,Germany,Bavaria,2812515,Europe/Berlin
Weilerswist,Germany,North Rhine-Westphalia,2812522,Europe/Berlin
Weil der Stadt,Germany,Baden-Wurttemberg,2812625,Europe/Berlin
Weil am Rhein,Germany,Baden-Wurttemberg,2812636,Europe/Berlin
Weiden,Germany,Bavaria,2813040,Europe/Berlin
Weißensee,Germany,State of Berlin,2813187,Europe/Berlin
Wegberg,Germany,North Rhine-Westphalia,2813390,Europe/Berlin
Weener,Germany,Lower Saxony,2813433,Europe/Berlin
Wedel,Germany,Schleswig-Holstein,2813464,Europe/Berlin
Wedding,Germany,State of Berlin,2813472,Europe/Berlin
Wassenberg,Germany,North Rhine-Westphalia,2813786,Europe/Berlin
Warstein,Germany,North Rhine-Westphalia,2814005,Europe/Berlin
